문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
20543,Gold I,폭탄 던지는 태영이,1210,353,235,28.694%,https://www.acmicpc.net/problem/20543
16193,Gold II,차이를 최대로 2,1000,306,234,32.276%,https://www.acmicpc.net/problem/16193
16890,Gold I,창업,1843,314,232,17.223%,https://www.acmicpc.net/problem/16890
21740,Platinum III,도도의 수학놀이,1905,347,231,18.796%,https://www.acmicpc.net/problem/21740
1101,Gold IV,카드 정리 1,828,295,231,37.500%,https://www.acmicpc.net/problem/1101
25498,Gold II,핸들 뭘로 하지,2041,330,230,17.706%,https://www.acmicpc.net/problem/25498
2911,Platinum V,전화 복구,479,270,230,55.961%,https://www.acmicpc.net/problem/2911
30701,Silver III,돌아온 똥게임,1028,277,229,31.156%,https://www.acmicpc.net/problem/30701
16209,Gold III,수열 섞기,1029,272,229,30.211%,https://www.acmicpc.net/problem/16209
5896,Platinum III,효율적으로 소 사기,1420,321,229,25.082%,https://www.acmicpc.net/problem/5896
3430,Gold I,용이 산다,1418,354,229,28.202%,https://www.acmicpc.net/problem/3430
27066,Gold V,나무 블럭 게임,505,264,227,51.945%,https://www.acmicpc.net/problem/27066
15554,Gold I,전시회,577,274,227,48.504%,https://www.acmicpc.net/problem/15554
28305,Gold I,세미나 배정,659,275,226,42.322%,https://www.acmicpc.net/problem/28305
24508,Gold V,나도리팡,1269,288,226,23.865%,https://www.acmicpc.net/problem/24508
12934,Gold V,턴 게임,495,283,226,56.642%,https://www.acmicpc.net/problem/12934
10427,Gold V,빚,494,263,223,58.377%,https://www.acmicpc.net/problem/10427
2786,Gold I,상근이의 레스토랑,1148,314,223,33.037%,https://www.acmicpc.net/problem/2786
25577,Gold IV,열 정렬정렬 정,492,258,222,66.867%,https://www.acmicpc.net/problem/25577
10885,Platinum V,수열의 장인,1738,294,222,18.049%,https://www.acmicpc.net/problem/10885
32185,Silver V,꿈 열정 나눔,420,233,217,58.177%,https://www.acmicpc.net/problem/32185
17497,Gold II,계산기,690,263,217,40.713%,https://www.acmicpc.net/problem/17497
31462,Silver II,삼각 초콜릿 포장 (Sweet),655,231,216,36.797%,https://www.acmicpc.net/problem/31462
27945,Gold III,슬슬 가지를 먹지 않으면 죽는다,540,283,216,50.824%,https://www.acmicpc.net/problem/27945
23815,Gold IV,똥게임,974,268,215,26.642%,https://www.acmicpc.net/problem/23815
25406,Platinum IV,식사 계획 세우기,862,261,210,35.775%,https://www.acmicpc.net/problem/25406
19639,Gold V,배틀로얄,1165,287,210,24.221%,https://www.acmicpc.net/problem/19639
21925,Gold III,짝수 팰린드롬,867,303,209,35.726%,https://www.acmicpc.net/problem/21925
31784,Silver I,포닉스의 문단속,521,242,204,44.060%,https://www.acmicpc.net/problem/31784
19580,Platinum V,마스크가 필요해,1371,273,203,22.308%,https://www.acmicpc.net/problem/19580
12915,Gold V,대회 개최,753,252,202,34.530%,https://www.acmicpc.net/problem/12915
30405,Gold V,박물관 견학,864,248,200,33.333%,https://www.acmicpc.net/problem/30405
30960,Gold V,조별 과제,550,246,199,55.587%,https://www.acmicpc.net/problem/30960
24229,Gold IV,모두싸인 출근길,693,250,199,36.514%,https://www.acmicpc.net/problem/24229
16238,Gold I,독수리,508,297,198,58.235%,https://www.acmicpc.net/problem/16238
16207,Gold III,직사각형,539,278,198,50.769%,https://www.acmicpc.net/problem/16207
3216,Silver II,다운로드,546,281,198,51.429%,https://www.acmicpc.net/problem/3216
2545,Silver IV,팬케익 먹기,1098,228,198,27.310%,https://www.acmicpc.net/problem/2545
20928,Gold IV,걷는 건 귀찮아,1161,265,196,23.873%,https://www.acmicpc.net/problem/20928
10975,Gold V,데크 소트 2,410,228,196,60.123%,https://www.acmicpc.net/problem/10975
25633,Silver I,도미노 넘어뜨리기,594,232,193,44.266%,https://www.acmicpc.net/problem/25633
32343,Bronze I,드랍 더 비트,333,210,192,68.571%,https://www.acmicpc.net/problem/32343
28470,Silver V,슥~빡! 빡~슥!,1040,239,190,22.646%,https://www.acmicpc.net/problem/28470
17395,Gold V,이진수 변환,508,212,190,43.379%,https://www.acmicpc.net/problem/17395
30406,Silver I,산타 춘배의 선물 나눠주기,312,207,188,65.965%,https://www.acmicpc.net/problem/30406
29891,Silver IV,체크포인트 달리기,774,239,188,31.126%,https://www.acmicpc.net/problem/29891
28709,Gold I,와일드카드 괄호 문자열,969,207,188,25.543%,https://www.acmicpc.net/problem/28709
11877,Gold III,홍수,483,242,187,46.173%,https://www.acmicpc.net/problem/11877
27112,Silver II,시간 외 근무 멈춰!,801,229,185,31.842%,https://www.acmicpc.net/problem/27112
27447,Gold IV,주문은 토기입니까?,850,254,184,27.381%,https://www.acmicpc.net/problem/27447
27515,Silver II,1차원 2048과 쿼리,983,247,183,25.630%,https://www.acmicpc.net/problem/27515
26075,Gold IV,곰곰아 선 넘지마,444,214,183,49.062%,https://www.acmicpc.net/problem/26075
12993,Silver II,이동3,528,216,183,41.124%,https://www.acmicpc.net/problem/12993
9464,Gold III,직사각형 집합,845,268,183,32.389%,https://www.acmicpc.net/problem/9464
22899,Gold II,오렌지컵 출제하기,844,220,182,31.597%,https://www.acmicpc.net/problem/22899
21943,Gold II,연산 최대로,573,285,181,51.130%,https://www.acmicpc.net/problem/21943
17954,Gold II,투튜브,617,211,181,33.457%,https://www.acmicpc.net/problem/17954
1587,Gold II,이분 매칭,455,211,181,51.420%,https://www.acmicpc.net/problem/1587
31778,Gold III,PPC 만들기,536,237,180,46.632%,https://www.acmicpc.net/problem/31778
27924,Gold III,윤이는 엄청난 것을 훔쳐갔습니다,392,214,177,56.550%,https://www.acmicpc.net/problem/27924
11666,Gold III,워크스테이션 배정,541,218,177,41.844%,https://www.acmicpc.net/problem/11666
3043,Platinum IV,장난감 탱크,722,219,177,31.162%,https://www.acmicpc.net/problem/3043
32034,Platinum V,동전 쌍 뒤집기,641,230,176,44.444%,https://www.acmicpc.net/problem/32034
31872,Silver III,강의실,290,199,175,72.917%,https://www.acmicpc.net/problem/31872
31845,Silver III,카드 교환,499,191,175,42.787%,https://www.acmicpc.net/problem/31845
31714,Silver IV,지정좌석 배치하기 1,333,217,175,64.815%,https://www.acmicpc.net/problem/31714
2759,Gold IV,팬케이크 뒤집기,526,214,175,45.812%,https://www.acmicpc.net/problem/2759
32029,Gold V,지금 자면 꿈을 꾸지만,405,194,174,55.063%,https://www.acmicpc.net/problem/32029
29812,Silver V,아니 이게 왜 안 돼,592,206,174,38.074%,https://www.acmicpc.net/problem/29812
21762,Platinum IV,공통 부분 수열 확장,998,218,174,26.565%,https://www.acmicpc.net/problem/21762
9241,Gold V,바이러스 복제,748,217,174,28.713%,https://www.acmicpc.net/problem/9241
31589,Silver III,포도주 시음,413,194,172,53.251%,https://www.acmicpc.net/problem/31589
24938,Silver II,키트 분배하기,564,211,172,43.108%,https://www.acmicpc.net/problem/24938
14943,Gold III,벼룩 시장,430,220,170,52.469%,https://www.acmicpc.net/problem/14943
3366,Gold I,수열 줄이기,660,226,169,34.350%,https://www.acmicpc.net/problem/3366
28359,Gold V,수열의 가치,361,196,167,54.934%,https://www.acmicpc.net/problem/28359
20666,Gold III,인물이와 정수,762,213,166,28.041%,https://www.acmicpc.net/problem/20666
7344,Gold II,나무 막대,514,206,165,42.636%,https://www.acmicpc.net/problem/7344
1545,Gold II,안티 팰린드롬,814,224,165,31.429%,https://www.acmicpc.net/problem/1545
7977,Gold IV,크리스 마틴,417,186,164,54.305%,https://www.acmicpc.net/problem/7977
32143,Gold III,카드 게임 (Hard),622,187,163,34.534%,https://www.acmicpc.net/problem/32143
29726,Gold V,숏코딩의 왕 브실이,706,204,163,30.871%,https://www.acmicpc.net/problem/29726
31003,Gold I,언젠가 정렬이 될 수 있으면 좋겠네.,547,189,162,42.971%,https://www.acmicpc.net/problem/31003
30108,Gold IV,교육적인 트리 문제,348,220,162,62.308%,https://www.acmicpc.net/problem/30108
14233,Silver I,악덕 사장,433,189,161,49.691%,https://www.acmicpc.net/problem/14233
27952,Silver IV,보디빌딩,658,188,160,32.000%,https://www.acmicpc.net/problem/27952
7976,Gold I,수열,576,185,159,34.945%,https://www.acmicpc.net/problem/7976
27923,Gold IV,햄버거최대 몇개드실수있나요?,727,204,158,29.644%,https://www.acmicpc.net/problem/27923
27377,Gold III,읽씹 멈춰!,825,221,157,25.822%,https://www.acmicpc.net/problem/27377
23845,Gold III,마트료시카,511,204,157,38.861%,https://www.acmicpc.net/problem/23845
1352,Gold I,문자열,818,215,157,36.175%,https://www.acmicpc.net/problem/1352
17842,Gold II,버스 노선,454,209,156,48.903%,https://www.acmicpc.net/problem/17842
13269,Gold IV,쌓기나무,436,170,156,39.494%,https://www.acmicpc.net/problem/13269
29336,Silver II,"월향, 비상",463,191,155,40.897%,https://www.acmicpc.net/problem/29336
27740,Gold IV,시프트 연산,860,194,153,26.516%,https://www.acmicpc.net/problem/27740
23889,Gold IV,돌 굴러가유,388,174,153,46.789%,https://www.acmicpc.net/problem/23889
1898,Gold II,이전 수열은 어떤 수열일까,455,223,152,54.480%,https://www.acmicpc.net/problem/1898
27313,Gold IV,효율적인 애니메이션 감상,750,189,151,31.070%,https://www.acmicpc.net/problem/27313
30014,Gold II,준영이의 사랑,419,178,150,44.379%,https://www.acmicpc.net/problem/30014
2205,Silver I,저울 추 만들기,448,168,150,43.103%,https://www.acmicpc.net/problem/2205
23042,Gold I,AND와 OR,427,176,149,50.000%,https://www.acmicpc.net/problem/23042
19950,Gold V,3차원 막대기 연결하기,373,181,149,58.431%,https://www.acmicpc.net/problem/19950
32072,Platinum IV,트리 뽑아내기,313,193,148,66.667%,https://www.acmicpc.net/problem/32072
1704,Platinum IV,붕어빵타이쿤,905,179,148,22.356%,https://www.acmicpc.net/problem/1704
28283,Gold IV,해킹,600,182,146,29.084%,https://www.acmicpc.net/problem/28283
10330,Gold V,비트 문자열 재배열하기,277,179,146,66.364%,https://www.acmicpc.net/problem/10330
3806,Gold III,S를 T로,591,180,143,34.048%,https://www.acmicpc.net/problem/3806
31264,Silver I,사격,1086,184,142,18.159%,https://www.acmicpc.net/problem/31264
30504,Silver IV,세과영엔 슬픈 전설이 있어,406,163,141,43.519%,https://www.acmicpc.net/problem/30504
10649,Platinum V,프리스비,455,174,141,36.719%,https://www.acmicpc.net/problem/10649
27085,Gold II,최대 점수,945,172,139,24.301%,https://www.acmicpc.net/problem/27085
27674,Silver V,A+B,264,150,138,64.486%,https://www.acmicpc.net/problem/27674
4055,Gold V,파티가 좋아 파티가 좋아,911,177,138,21.596%,https://www.acmicpc.net/problem/4055
21319,Gold I,챔피언 (Easy),766,179,137,25.560%,https://www.acmicpc.net/problem/21319
30825,Silver II,건공펀치 등차수열,355,171,136,47.387%,https://www.acmicpc.net/problem/30825
25320,Platinum IV,SCV 체인,773,156,136,22.857%,https://www.acmicpc.net/problem/25320
17942,Gold I,알고리즘 공부,467,189,135,38.136%,https://www.acmicpc.net/problem/17942
26601,Platinum V,가장 작은 수,439,201,134,40.854%,https://www.acmicpc.net/problem/26601
20136,Platinum IV,멀티탭 스케줄링 2,603,185,134,29.712%,https://www.acmicpc.net/problem/20136
17449,Gold II,순위 계산,493,153,134,38.728%,https://www.acmicpc.net/problem/17449
1512,Gold V,주기문으로 바꾸기,611,203,134,39.296%,https://www.acmicpc.net/problem/1512
1369,Platinum V,배열값,732,172,132,29.204%,https://www.acmicpc.net/problem/1369
30645,Silver II,인형 전시,447,163,130,41.139%,https://www.acmicpc.net/problem/30645
25683,Silver I,행렬 곱셈 순서 4,362,150,130,55.085%,https://www.acmicpc.net/problem/25683
24025,Gold III,돌의 정령 줄세우기,309,148,130,46.595%,https://www.acmicpc.net/problem/24025
20415,Platinum V,MVP 다이아몬드 (Hard),299,155,130,56.277%,https://www.acmicpc.net/problem/20415
11583,Gold II,인경호의 징검다리,563,159,130,33.079%,https://www.acmicpc.net/problem/11583
32173,Silver III,새치기,248,143,128,59.259%,https://www.acmicpc.net/problem/32173
2871,Gold II,아름다운 단어,527,157,128,34.043%,https://www.acmicpc.net/problem/2871
17501,Gold II,수식 트리,371,157,127,49.035%,https://www.acmicpc.net/problem/17501
11883,Gold III,생일수 I,510,162,127,32.732%,https://www.acmicpc.net/problem/11883
7774,Silver III,콘센트,476,149,126,33.690%,https://www.acmicpc.net/problem/7774
32186,Silver III,역시 내 이세계 수열은 잘못됐다,437,132,125,36.982%,https://www.acmicpc.net/problem/32186
31410,Gold III,제독 작전,707,166,125,29.621%,https://www.acmicpc.net/problem/31410
26648,Silver I,물정수열,425,148,125,37.651%,https://www.acmicpc.net/problem/26648
1885,Gold IV,비부분수열,364,160,125,44.964%,https://www.acmicpc.net/problem/1885
1636,Gold IV,한번 열면 멈출 수 없어,551,163,123,30.597%,https://www.acmicpc.net/problem/1636
15790,Gold II,최종병기 활,600,166,121,29.950%,https://www.acmicpc.net/problem/15790
32200,Silver V,항해,300,140,120,54.299%,https://www.acmicpc.net/problem/32200
23844,Gold I,트리 정리하기,330,152,120,44.610%,https://www.acmicpc.net/problem/23844
9203,Gold III,호텔 예약,2803,675,120,7.181%,https://www.acmicpc.net/problem/9203
20941,Platinum V,성싶당,363,134,119,39.274%,https://www.acmicpc.net/problem/20941
2134,Silver III,창고 이전,573,165,118,28.297%,https://www.acmicpc.net/problem/2134
15703,Gold IV,주사위 쌓기,383,145,117,43.173%,https://www.acmicpc.net/problem/15703
10777,Platinum III,허니버터칩,512,158,117,29.104%,https://www.acmicpc.net/problem/10777
31673,Silver III,특별한 학생회장 교체,359,145,116,38.538%,https://www.acmicpc.net/problem/31673
18859,Platinum IV,부모님께 큰절 하고,806,135,116,19.496%,https://www.acmicpc.net/problem/18859
15321,Gold II,이상한 토너먼트,308,130,115,52.273%,https://www.acmicpc.net/problem/15321
31443,Gold IV,준영이,300,133,114,60.638%,https://www.acmicpc.net/problem/31443
30015,Gold III,학생회 뽑기,300,143,114,47.107%,https://www.acmicpc.net/problem/30015
23578,Platinum V,비 오는 날,500,144,114,28.429%,https://www.acmicpc.net/problem/23578
23255,Gold IV,구름다리 2,467,166,114,38.127%,https://www.acmicpc.net/problem/23255
12731,Gold V,열차 시간표(Small),320,131,114,45.783%,https://www.acmicpc.net/problem/12731
31674,Silver II,특별한 기술력,451,139,113,30.707%,https://www.acmicpc.net/problem/31674
17830,Gold IV,이진수씨의 하루 일과,422,139,113,40.647%,https://www.acmicpc.net/problem/17830
32073,Platinum IV,XOR 최대,433,140,112,35.331%,https://www.acmicpc.net/problem/32073
31883,Silver III,FA수의 진,155,134,112,87.500%,https://www.acmicpc.net/problem/31883
30827,Gold IV,회의실 배정,367,131,109,39.927%,https://www.acmicpc.net/problem/30827
17947,Platinum V,상남자 곽철용,991,174,109,15.843%,https://www.acmicpc.net/problem/17947
15317,Gold II,동방 보수,359,133,108,37.762%,https://www.acmicpc.net/problem/15317
26651,Gold V,팬램그,361,124,107,39.051%,https://www.acmicpc.net/problem/26651
2886,Gold I,자리 전쟁,762,135,107,22.062%,https://www.acmicpc.net/problem/2886
2123,Platinum V,인간 탑 쌓기,360,127,107,38.078%,https://www.acmicpc.net/problem/2123
31092,Gold I,스티커 재배치,297,137,106,48.182%,https://www.acmicpc.net/problem/31092
6143,Gold II,문자열 생성 2,611,138,106,27.110%,https://www.acmicpc.net/problem/6143
30012,Silver III,개구리 매칭,286,116,105,44.118%,https://www.acmicpc.net/problem/30012
32247,Silver I,이상한 나라의 끈끈이주걱,623,151,104,24.940%,https://www.acmicpc.net/problem/32247
5461,Platinum IV,고용,595,129,104,20.594%,https://www.acmicpc.net/problem/5461
30686,Gold V,과제 제출하기,330,117,103,36.140%,https://www.acmicpc.net/problem/30686
14610,Gold IV,좋은 대회,365,118,102,36.823%,https://www.acmicpc.net/problem/14610
32134,Gold III,짚단 베기,419,115,101,30.793%,https://www.acmicpc.net/problem/32134
31719,Gold IV,UDP 스택,452,119,101,28.693%,https://www.acmicpc.net/problem/31719
28448,Platinum V,광기의 PS,300,124,101,43.534%,https://www.acmicpc.net/problem/28448
28284,Gold II,스터디 카페,455,129,101,35.069%,https://www.acmicpc.net/problem/28284
26159,Gold II,트리와 수열,351,150,101,39.608%,https://www.acmicpc.net/problem/26159
20915,Silver II,숫자 카드 놀이,313,120,101,41.393%,https://www.acmicpc.net/problem/20915
14432,Platinum V,우물,239,143,101,59.763%,https://www.acmicpc.net/problem/14432
27279,Gold IV,조사전달,298,122,100,42.373%,https://www.acmicpc.net/problem/27279
17493,Platinum III,동아리 홍보하기,632,138,100,26.810%,https://www.acmicpc.net/problem/17493
27653,Gold II,최소 트리 분할,226,121,99,55.000%,https://www.acmicpc.net/problem/27653
17082,Platinum V,쿼리와 쿼리,479,120,98,26.273%,https://www.acmicpc.net/problem/17082
